run_name,best_val_loss,final_train_loss,final_val_loss,learning_rate,num_epochs,lora_rank,lora_alpha,batch_size,duration_minutes
bs8_lr1e-04_a64_r32_ep5,0.0073656076565384865,0.00034428847720846534,0.009192798286676407,0.0001,5.0,32.0,64.0,8.0,4.975042833333333
bs16_lr1e-04_a64_r32_ep5,0.008490480482578278,0.0005676174769178033,0.008490480482578278,0.0001,5.0,32.0,64.0,16.0,4.654096216666667
bs8_lr1e-04_a32_r16_ep5,0.010709276422858238,0.0003196619509253651,0.014037875458598137,0.0001,5.0,16.0,32.0,8.0,4.99479645
bs8_lr1e-04_a64_r32_ep3,0.010814180597662926,0.0032764659263193607,0.010814180597662926,0.0001,3.0,32.0,64.0,8.0,4.507676616666667
bs8_lr1e-04_a32_r32_ep5,0.011188250966370106,0.00029435940086841583,0.011188250966370106,0.0001,5.0,32.0,32.0,8.0,4.742708449999999
bs16_lr1e-04_a32_r16_ep5,0.011672274209558964,0.0014143740991130471,0.011779740452766418,0.0001,5.0,16.0,32.0,16.0,4.597631766666667
bs8_lr1e-04_a32_r32_ep3,0.01312361191958189,0.004924236796796322,0.013392066583037376,0.0001,3.0,32.0,32.0,8.0,4.524065500000001
bs16_lr1e-04_a32_r32_ep5,0.013620400801301003,0.0016400720924139023,0.013620400801301003,0.0001,5.0,32.0,32.0,16.0,4.617299283333334
bs8_lr1e-04_a16_r16_ep5,0.014193713665008545,0.002383955754339695,0.014193713665008545,0.0001,5.0,16.0,16.0,8.0,4.572597383333333
bs16_lr1e-04_a32_r16_ep3,0.014726604335010052,0.010166460648179054,0.014726604335010052,0.0001,3.0,16.0,32.0,16.0,4.5072327
bs16_lr1e-04_a32_r32_ep3,0.016455743461847305,0.009774325415492058,0.016455743461847305,0.0001,3.0,32.0,32.0,16.0,4.53649975
bs8_lr1e-04_a16_r16_ep3,0.018543880432844162,0.01662055216729641,0.018794765695929527,0.0001,3.0,16.0,16.0,8.0,4.416424033333333
bs16_lr1e-05_a64_r32_ep5,0.021419566124677658,0.003780689090490341,0.021419566124677658,1e-05,5.0,32.0,64.0,16.0,4.611004133333334
bs8_lr1e-05_a64_r32_ep3,0.022060701623558998,0.04036993160843849,0.02271609753370285,1e-05,3.0,32.0,64.0,8.0,4.681675216666666
bs8_lr1e-04_a16_r16_ep1,0.03078446350991726,0.044562410563230515,0.03078446350991726,0.0001,,,16.0,,4.410747216666667
bs8_lr1e-04_a32_r32_ep1,0.03148237243294716,0.058607134968042374,0.03148237243294716,0.0001,1.0,32.0,32.0,8.0,4.3121312666666665
bs8_lr1e-04_a32_r16_ep1,0.031533170491456985,0.06059442088007927,0.031533170491456985,0.0001,1.0,16.0,32.0,8.0,4.474946849999999
bs16_lr1e-04_a32_r16_ep1,0.031607743352651596,0.04050784558057785,0.031607743352651596,0.0001,1.0,16.0,32.0,16.0,4.367930066666667
bs16_lr1e-04_a32_r32_ep1,0.03223031386733055,0.03758075088262558,0.03223031386733055,0.0001,1.0,32.0,32.0,16.0,4.378539016666666
bs16_lr1e-05_a32_r16_ep5,0.03728210926055908,0.012016992084681988,0.03728210926055908,1e-05,5.0,16.0,32.0,16.0,4.559057916666666
bs8_lr1e-05_a32_r32_ep3,0.03811006620526314,0.06243896484375,0.03811006620526314,1e-05,3.0,32.0,32.0,8.0,4.580464533333333
bs16_lr1e-04_a16_r16_ep1,0.0406496487557888,0.031179988756775856,0.0406496487557888,0.0001,1.0,16.0,16.0,16.0,4.42125325
bs8_lr1e-05_a64_r32_ep1,0.05364364758133888,0.07276825606822968,0.05364364758133888,1e-05,1.0,32.0,64.0,8.0,4.421844500000001
bs16_lr1e-05_a16_r16_ep3,0.08547873795032501,0.11835193634033203,0.08547873795032501,1e-05,3.0,16.0,16.0,16.0,4.4269518166666675
bs16_lr1e-05_a32_r16_ep1,0.1316487342119217,0.152553528547287,0.1316487342119217,1e-05,1.0,16.0,32.0,16.0,4.340284333333333
bs8_lr1e-05_a16_r16_ep1,0.17072591185569763,0.27851200103759766,0.17072591185569763,1e-05,1.0,16.0,16.0,8.0,4.313986433333333
