=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
------------------------------------------------------------
CONV2D         14.698      [1,16,320,320]       values=[22.893,1.4987,1.4983,1.4793,1.5284,...]
SIGMOID        1.885       [1,16,320,320]       values=[1.0000,0.8173,0.8173,0.8144,0.8217,...]
MULTIPLY       3.418       [1,16,320,320]       values=[22.893,1.2250,1.2245,1.2048,1.2560,...]
CONV2D         56.494      [1,32,160,160]       values=[-0.594,0.7897,0.7404,0.8114,0.9324,...]
SIGMOID        0.858       [1,32,160,160]       values=[0.3557,0.6877,0.6770,0.6924,0.7175,...]
MULTIPLY       1.481       [1,32,160,160]       values=[-0.211,0.5431,0.5013,0.5618,0.6690,...]
CONV2D         40.716      [1,32,160,160]       values=[17.567,14.393,14.812,15.053,15.218,...]
SIGMOID        1.106       [1,32,160,160]       values=[1.0000,0.9999,1.0000,1.0000,1.0000,...]
MULTIPLY       1.471       [1,32,160,160]       values=[17.567,14.393,14.812,15.053,15.218,...]
SLICE          0.400       [1,16,160,160]       values=[17.567,14.393,14.812,15.053,15.218,...]
SLICE          0.382       [1,16,160,160]       values=[0.0801,0.5408,0.5906,0.3512,0.2508,...]
CONV2D         24.971      [1,8,160,160]        values=[1.4624,1.4077,1.3714,1.3528,1.3320,...]
SIGMOID        0.222       [1,8,160,160]        values=[0.8119,0.8034,0.7976,0.7946,0.7911,...]
MULTIPLY       0.305       [1,8,160,160]        values=[1.1874,1.1310,1.0939,1.0749,1.0538,...]
CONV2D         12.531      [1,16,160,160]       values=[-4.359,0.8809,2.4799,1.2884,1.5304,...]
SIGMOID        0.445       [1,16,160,160]       values=[0.0126,0.7070,0.9227,0.7838,0.8220,...]
MULTIPLY       0.708       [1,16,160,160]       values=[-0.055,0.6228,2.2882,1.0099,1.2581,...]
ADD            0.906       [1,16,160,160]       values=[0.0251,1.1637,2.8789,1.3612,1.5090,...]
CONCAT         0.559       [1,32,160,160]       values=[17.567,14.393,14.812,15.053,15.218,...] weights=[0.0801,0.5408,0.5906,0.3512,0.2508,...]
CONCAT         1.034       [1,48,160,160]       values=[17.567,14.393,14.812,15.053,15.218,...] weights=[0.0251,1.1637,2.8789,1.3612,1.5090,...]
CONV2D         94.072      [1,64,160,160]       values=[5.3271,7.3446,6.4618,6.2232,6.1118,...]
SIGMOID        2.110       [1,64,160,160]       values=[0.9951,0.9993,0.9984,0.9980,0.9977,...]
MULTIPLY       3.104       [1,64,160,160]       values=[5.3014,7.3398,6.4517,6.2109,6.0983,...]
CONV2D         121.502     [1,64,80,80]         values=[3.7569,2.1655,2.1402,2.1234,2.1837,...]
SIGMOID        0.505       [1,64,80,80]         values=[0.9771,0.8971,0.8947,0.8931,0.8987,...]
MULTIPLY       0.595       [1,64,80,80]         values=[3.6712,1.9427,1.9149,1.8966,1.9626,...]
CONV2D         30.047      [1,64,80,80]         values=[2.9277,1.9665,1.8671,1.8335,1.7964,...]
SIGMOID        0.392       [1,64,80,80]         values=[0.9492,0.8772,0.8661,0.8621,0.8577,...]
MULTIPLY       0.697       [1,64,80,80]         values=[2.7790,1.7251,1.6171,1.5808,1.5408,...]
SLICE          0.142       [1,32,80,80]         values=[2.7790,1.7251,1.6171,1.5808,1.5408,...]
SLICE          0.137       [1,32,80,80]         values=[-0.234,-0.038,-0.068,-0.031,0.0138,...]
CONV2D         12.500      [1,16,80,80]         values=[0.9809,2.0095,1.2125,0.9944,0.8889,...]
SIGMOID        0.086       [1,16,80,80]         values=[0.7272,0.8818,0.7707,0.7299,0.7086,...]
MULTIPLY       0.126       [1,16,80,80]         values=[0.7134,1.7720,0.9346,0.7258,0.6299,...]
CONV2D         12.647      [1,32,80,80]         values=[1.2671,1.5068,1.4611,1.3948,1.3932,...]
SIGMOID        0.180       [1,32,80,80]         values=[0.7802,0.8185,0.8117,0.8013,0.8011,...]
