=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
------------------------------------------------------------
IM2COL         2.506       [1,102400,27]        values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.003       [16,27]              values=[-2.752,-0.387,3.5655,-6.969,-0.916,...]
MATMUL_ND      4.939       [1,102400,16]        values=[-inf,-nan,329.25,23696.,inf,...]
ADD            15.217      [1,102400,16]        values=[-65504,-65504,-6460.,23696.,65504.,...]
RESHAPE        0.806       [1,320,320,16]       values=[-65504,-65504,-6460.,23696.,65504.,...]
TRANSPOSE      3.928       [1,16,320,320]       values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.968       [1,16,320,320]       values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       1.510       [1,16,320,320]       values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         3.378       [1,25600,144]        values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.010       [32,144]             values=[0.0099,0.0940,0.0476,0.0452,-0.110,...]
MATMUL_ND      4.325       [1,25600,32]         values=[nan,nan,nan,-nan,nan,...]
ADD            7.446       [1,25600,32]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.295       [1,160,160,32]       values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      3.893       [1,32,160,160]       values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.512       [1,32,160,160]       values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.609       [1,32,160,160]       values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         1.532       [1,25600,32]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.003       [32,32]              values=[0.0193,0.3801,0.1696,0.0635,0.0680,...]
MATMUL_ND      2.343       [1,25600,32]         values=[-2864.,inf,inf,-nan,-nan,...]
ADD            7.439       [1,25600,32]         values=[-5744.,65504.,65504.,-65504,-65504,...]
RESHAPE        0.289       [1,160,160,32]       values=[-5744.,65504.,65504.,-65504,-65504,...]
TRANSPOSE      3.961       [1,32,160,160]       values=[-5744.,-2878.,-2878.,65504.,-2878.,...]
SIGMOID        0.521       [1,32,160,160]       values=[0.0000,0.0000,0.0000,1.0000,0.0000,...]
MULTIPLY       0.633       [1,32,160,160]       values=[-0.000,-0.000,-0.000,65504.,-0.000,...]
SLICE          0.173       [1,16,160,160]       values=[-0.000,-0.000,-0.000,65504.,-0.000,...]
SLICE          0.149       [1,16,160,160]       values=[65504.,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         3.048       [1,25600,144]        values=[0.0000,0.0000,0.0000,0.0000,65504.,...]
RESHAPE        0.007       [8,144]              values=[-0.002,0.0088,0.0028,-0.003,0.0842,...]
MATMUL_ND      2.440       [1,25600,8]          values=[-nan,-nan,-nan,-nan,-nan,...]
ADD            1.874       [1,25600,8]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.087       [1,160,160,8]        values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      0.981       [1,8,160,160]        values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.225       [1,8,160,160]        values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.129       [1,8,160,160]        values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.757       [1,25600,72]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.003       [16,72]              values=[-0.047,1.5142,-1.135,-0.109,3.3062,...]
MATMUL_ND      3.644       [1,25600,16]         values=[0.0000,nan,-nan,-nan,nan,...]
ADD            3.808       [1,25600,16]         values=[2000.0,-65504,-65504,-65504,-65504,...]
RESHAPE        0.158       [1,160,160,16]       values=[2000.0,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.009       [1,16,160,160]       values=[2000.0,2000.0,2000.0,2000.0,2000.0,...]
SIGMOID        0.266       [1,16,160,160]       values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.324       [1,16,160,160]       values=[2000.0,2000.0,2000.0,2000.0,2000.0,...]
ADD            0.360       [1,16,160,160]       values=[inf,2000.0,2000.0,2000.0,2000.0,...]
CONCAT         0.325       [1,32,160,160]       values=[-0.000,-0.000,-0.000,65504.,-0.000,...] weights=[65504.,-0.000,-0.000,-0.000,-0.000,...]
CONCAT         0.432       [1,48,160,160]       values=[-0.000,-0.000,-0.000,65504.,-0.000,...] weights=[inf,2000.0,2000.0,2000.0,2000.0,...]
IM2COL         2.839       [1,25600,48]         values=[-0.000,65504.,65504.,-0.000,-0.000,...]
RESHAPE        0.005       [64,48]              values=[0.0781,0.0118,0.0192,-0.008,0.0075,...]
MATMUL_ND      5.010       [1,25600,64]         values=[nan,nan,nan,nan,-nan,...]
ADD            14.713      [1,25600,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.784       [1,160,160,64]       values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      8.733       [1,64,160,160]       values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        1.190       [1,64,160,160]       values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       1.782       [1,64,160,160]       values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         9.671       [1,6400,576]         values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.036       [64,576]             values=[0.0018,-0.022,0.0137,-0.003,-0.024,...]
MATMUL_ND      12.459      [1,6400,64]          values=[-nan,-nan,-nan,nan,nan,...]
ADD            3.669       [1,6400,64]          values=[-65504,-65504,-65504,-65504,-65504,...]
RESHAPE        0.144       [1,80,80,64]         values=[-65504,-65504,-65504,-65504,-65504,...]
TRANSPOSE      1.064       [1,64,80,80]         values=[-65504,-65504,-65504,-65504,-65504,...]
SIGMOID        0.293       [1,64,80,80]         values=[0.0000,0.0000,0.0000,0.0000,0.0000,...]
MULTIPLY       0.306       [1,64,80,80]         values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.302       [1,6400,64]          values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
RESHAPE        0.005       [64,64]              values=[-0.049,-0.157,0.0037,0.0609,0.0110,...]
MATMUL_ND      2.739       [1,6400,64]          values=[-nan,-nan,-nan,0.0000,-nan,...]
ADD            3.659       [1,6400,64]          values=[-65504,-65504,-65504,1.8134,-65504,...]
