=== Graph Execution Profile ===
Operation      Time (ms)   Output Shape        Backend
------------------------------------------------------------
IM2COL         2.436       [1,102400,27]        values=[0.0000,0.0000,0.0000,0.0000,0.6738,...]
RESHAPE        0.003       [16,27]              values=[-19,-3,25,-49,-6,...]
MATMUL_ND      8.791       [1,102400,16]        values=[20.890,0.2705,-23.26,15.921,-22.54,...]
ADD            15.236      [1,102400,16]        values=[20.890,50112.,-23.26,15.921,-22.54,...]
RESHAPE        0.799       [1,320,320,16]       values=[20.890,50112.,-23.26,15.921,-22.54,...]
TRANSPOSE      3.934       [1,16,320,320]       values=[20.890,-0.437,-0.548,-0.569,-0.621,...]
SIGMOID        1.020       [1,16,320,320]       values=[1.0000,0.3923,0.3662,0.3613,0.3496,...]
MULTIPLY       1.702       [1,16,320,320]       values=[20.890,-0.171,-0.200,-0.205,-0.217,...]
IM2COL         3.422       [1,25600,144]        values=[0.0000,0.0000,0.0000,0.0000,20.890,...]
RESHAPE        0.005       [32,144]             values=[1,5,2,2,-6,...]
MATMUL_ND      4.929       [1,25600,32]         values=[7920.0,5940.0,15840.,0.0000,-inf,...]
ADD            7.476       [1,25600,32]         values=[7920.0,1962.0,15840.,4.2929,-65504,...]
RESHAPE        0.331       [1,160,160,32]       values=[7920.0,1962.0,15840.,4.2929,-65504,...]
TRANSPOSE      4.013       [1,32,160,160]       values=[7920.0,11880.,11880.,11880.,11880.,...]
SIGMOID        0.487       [1,32,160,160]       values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.585       [1,32,160,160]       values=[7920.0,11880.,11880.,11880.,11880.,...]
IM2COL         1.555       [1,25600,32]         values=[7920.0,1962.0,15840.,4.2343,-0.000,...]
RESHAPE        0.002       [32,32]              values=[2,34,15,6,6,...]
MATMUL_ND      2.570       [1,25600,32]         values=[8376.0,-41248,-inf,-1028.,2768.0,...]
ADD            7.456       [1,25600,32]         values=[9312.0,-41248,-65504,-1028.,-57152,...]
RESHAPE        0.328       [1,160,160,32]       values=[9312.0,-41248,-65504,-1028.,-57152,...]
TRANSPOSE      2.172       [1,32,160,160]       values=[9312.0,8488.0,8488.0,8488.0,8488.0,...]
SIGMOID        0.852       [1,32,160,160]       values=[1.0000,1.0000,1.0000,1.0000,1.0000,...]
MULTIPLY       0.620       [1,32,160,160]       values=[9312.0,8488.0,8488.0,8488.0,8488.0,...]
SLICE          0.184       [1,16,160,160]       values=[9312.0,8488.0,8488.0,8488.0,8488.0,...]
SLICE          0.204       [1,16,160,160]       values=[-0.000,-0.000,-0.000,-0.000,-0.000,...]
IM2COL         2.959       [1,25600,144]        values=[0.0000,0.0000,0.0000,0.0000,-0.000,...]
RESHAPE        0.003       [8,144]              values=[-1,4,1,-2,36,...]
MATMUL_ND      3.752       [1,25600,8]          values=[152.75,-1937.,-2662.,-3206.,402.50,...]
ADD            1.872       [1,25600,8]          values=[-65504,-3444.,1170.0,-3212.,402.50,...]
RESHAPE        0.091       [1,160,160,8]        values=[-65504,-3444.,1170.0,-3212.,402.50,...]
